,date,Close,Volume
2767,2009-01-02,76.52,13695900.0
2768,2009-01-05,76.66,16954500.0
2769,2009-01-06,77.35,15894500.0
2770,2009-01-07,73.96,12804300.0
2771,2009-01-08,74.24,11397200.0
2772,2009-01-09,72.82,14182600.0
2773,2009-01-12,70.82,14195500.0
2774,2009-01-13,71.82,14378800.0
2775,2009-01-14,69.69,15142400.0
2776,2009-01-15,70.77,19293100.0
2777,2009-01-16,71.74,15594800.0
2778,2009-01-20,68.31,16084200.0
2779,2009-01-21,71.23,15889900.0
2780,2009-01-22,69.95,14320100.0
2781,2009-01-23,70.82,13422100.0
2782,2009-01-26,71.29,14023100.0
2783,2009-01-27,72.09,13632700.0
2784,2009-01-28,73.79,14649100.0
2785,2009-01-29,70.62,15780500.0
2786,2009-01-30,70.52,17880000.0
2787,2009-02-02,70.29,12445000.0
2788,2009-02-03,71.64,12509600.0
2789,2009-02-04,71.6,12058000.0
2790,2009-02-05,73.25,14933800.0
2791,2009-02-06,74.9,13345400.0
2792,2009-02-09,74.42,14894400.0
2793,2009-02-10,71.12,20150600.0
2794,2009-02-11,71.26,15533700.0
2795,2009-02-12,69.86,17237200.0
2796,2009-02-13,69.73,10852400.0
2797,2009-02-17,66.18,18834600.0
2798,2009-02-18,66.12,12564000.0
2799,2009-02-19,66.68,10164600.0
2800,2009-02-20,65.07,19885500.0
2801,2009-02-23,62.94,18809700.0
2802,2009-02-24,65.28,19231300.0
2803,2009-02-25,63.5,26680400.0
2804,2009-02-26,63.17,15711000.0
2805,2009-02-27,60.71,20502100.0
2806,2009-03-02,57.62,19315900.0
2807,2009-03-03,57.73,19266800.0
2808,2009-03-04,59.28,19092400.0
2809,2009-03-05,56.46,22266000.0
2810,2009-03-06,58.27,22099300.0
2811,2009-03-09,58.28,17666400.0
2812,2009-03-10,61.78,21943900.0
2813,2009-03-11,61.22,15360800.0
2814,2009-03-12,63.4,15602800.0
2815,2009-03-13,62.91,14355400.0
2816,2009-03-16,62.94,13272000.0
2817,2009-03-17,65.31,14726900.0
2818,2009-03-18,66.59,17843100.0
2819,2009-03-19,67.13,17221600.0
2820,2009-03-20,64.71,23811700.0
2821,2009-03-23,69.15,20321200.0
2822,2009-03-24,68.93,15391900.0
2823,2009-03-25,69.7,16723400.0
2824,2009-03-26,70.17,15904600.0
2825,2009-03-27,68.9,12842400.0
2826,2009-03-30,66.8,14304800.0
2827,2009-03-31,67.24,18691400.0
2828,2009-04-01,68.3,14299000.0
2829,2009-04-02,70.31,18069100.0
2830,2009-04-03,70.48,11574700.0
2831,2009-04-06,69.89,10430600.0
2832,2009-04-07,68.4,11086000.0
2833,2009-04-08,68.48,11238900.0
2834,2009-04-09,69.23,11057900.0
2835,2009-04-13,67.98,12614700.0
2836,2009-04-14,66.58,12971500.0
2837,2009-04-15,66.7,11219200.0
2838,2009-04-16,65.93,11959400.0
2839,2009-04-17,66.01,12660500.0
2840,2009-04-20,63.87,11753300.0
2841,2009-04-21,64.88,12569800.0
2842,2009-04-22,63.75,11932800.0
2843,2009-04-23,65.53,12370800.0
2844,2009-04-24,66.6,12615100.0
2845,2009-04-27,65.41,12303400.0
2846,2009-04-28,65.99,9261500.0
2847,2009-04-29,67.56,11666100.0
2848,2009-04-30,66.1,14107700.0
2849,2009-05-01,66.87,12003200.0
2850,2009-05-04,66.68,15224400.0
2851,2009-05-05,65.75,12678800.0
2852,2009-05-06,68.11,14107200.0
2853,2009-05-07,67.98,12338700.0
2854,2009-05-08,70.38,13931400.0
2855,2009-05-11,68.0,13520700.0
2856,2009-05-12,69.19,11313500.0
2857,2009-05-13,68.1,12437000.0
2858,2009-05-14,67.85,10051900.0
2859,2009-05-15,65.88,12322900.0
2860,2009-05-18,66.03,13480100.0
2861,2009-05-19,65.86,14223600.0
2862,2009-05-20,65.21,17617900.0
2863,2009-05-21,64.47,12463000.0
2864,2009-05-22,64.44,8779000.0
2865,2009-05-26,65.66,12018200.0
2866,2009-05-27,64.57,12209300.0
2867,2009-05-28,65.81,3336200.0
2868,2009-05-29,66.67,12171400.0
2869,2009-06-01,69.21,14222500.0
2870,2009-06-02,69.35,10311000.0
2871,2009-06-03,68.26,14907700.0
2872,2009-06-04,69.79,11298900.0
