,date,Close,Volume
2767,2009-01-02,15.2,52208200.0
2768,2009-01-05,14.91,57320400.0
2769,2009-01-06,15.37,61631400.0
2770,2009-01-07,14.44,131389200.0
2771,2009-01-08,14.55,63101600.0
2772,2009-01-09,14.15,45551100.0
2773,2009-01-12,13.79,54082500.0
2774,2009-01-13,13.67,65565100.0
2775,2009-01-14,13.08,69549600.0
2776,2009-01-15,13.29,73153900.0
2777,2009-01-16,13.74,83985300.0
2778,2009-01-20,12.86,71563900.0
2779,2009-01-21,13.26,56622000.0
2780,2009-01-22,12.82,72704000.0
2781,2009-01-23,13.12,63162200.0
2782,2009-01-26,13.38,49562500.0
2783,2009-01-27,13.81,45615800.0
2784,2009-01-28,14.01,57065400.0
2785,2009-01-29,13.37,51354500.0
2786,2009-01-30,12.9,47000100.0
2787,2009-02-02,13.63,69886500.0
2788,2009-02-03,13.73,56695700.0
2789,2009-02-04,13.88,77692400.0
2790,2009-02-05,14.25,61024500.0
2791,2009-02-06,14.73,62677300.0
2792,2009-02-09,14.91,64735500.0
2793,2009-02-10,14.08,94001200.0
2794,2009-02-11,14.08,57378700.0
2795,2009-02-12,14.0,76366300.0
2796,2009-02-13,13.88,55953700.0
2797,2009-02-17,13.21,60690300.0
2798,2009-02-18,13.36,51305600.0
2799,2009-02-19,12.68,56175100.0
2800,2009-02-20,12.78,73617900.0
2801,2009-02-23,12.08,88416500.0
2802,2009-02-24,12.73,74644300.0
2803,2009-02-25,13.03,108225000.0
2804,2009-02-26,12.71,69012700.0
2805,2009-02-27,12.74,69764500.0
2806,2009-03-02,12.31,64495900.0
2807,2009-03-03,12.28,76602000.0
2808,2009-03-04,12.76,84412100.0
2809,2009-03-05,12.31,76644500.0
2810,2009-03-06,12.41,79191400.0
2811,2009-03-09,12.55,87044700.0
2812,2009-03-10,13.92,92478000.0
2813,2009-03-11,13.96,82085400.0
2814,2009-03-12,14.52,84846000.0
2815,2009-03-13,14.7,66631100.0
2816,2009-03-16,14.25,72651200.0
2817,2009-03-17,14.9,64928700.0
2818,2009-03-18,15.24,91361600.0
2819,2009-03-19,15.15,66560800.0
2820,2009-03-20,14.65,84639100.0
2821,2009-03-23,15.52,64167500.0
2822,2009-03-24,15.06,59468600.0
2823,2009-03-25,14.94,94510300.0
2824,2009-03-26,15.82,77554300.0
2825,2009-03-27,15.42,45694300.0
2826,2009-03-30,14.72,55433000.0
2827,2009-03-31,15.03,62044500.0
2828,2009-04-01,15.03,75052800.0
2829,2009-04-02,15.7,77688000.0
2830,2009-04-03,15.95,51137100.0
2831,2009-04-06,15.86,47650800.0
2832,2009-04-07,15.45,52741800.0
2833,2009-04-08,15.27,68332300.0
2834,2009-04-09,15.98,58560100.0
2835,2009-04-13,15.98,45423200.0
2836,2009-04-14,16.01,92083600.0
2837,2009-04-15,15.62,152727500.0
2838,2009-04-16,15.89,68775100.0
2839,2009-04-17,15.6,67299700.0
2840,2009-04-20,15.0,66489000.0
2841,2009-04-21,15.36,85204200.0
2842,2009-04-22,15.67,95293600.0
2843,2009-04-23,15.53,74517400.0
2844,2009-04-24,15.62,67621900.0
2845,2009-04-27,15.28,64601800.0
2846,2009-04-28,15.05,55510200.0
2847,2009-04-29,15.35,60855600.0
2848,2009-04-30,15.78,77775200.0
2849,2009-05-01,15.81,50861600.0
