,date,Close,Volume
2767,2009-01-02,30.0,36522300.0
2768,2009-01-05,28.06,43614200.0
2769,2009-01-06,27.54,54222900.0
2770,2009-01-07,25.87,52631000.0
2771,2009-01-08,25.72,52580100.0
2772,2009-01-09,25.14,43187900.0
2773,2009-01-12,23.8,57566500.0
2774,2009-01-13,24.38,65413600.0
2775,2009-01-14,23.07,71135600.0
2776,2009-01-15,20.16,178862300.0
2777,2009-01-16,18.68,173589900.0
2778,2009-01-20,14.23,203896600.0
2779,2009-01-21,16.65,188824400.0
2780,2009-01-22,15.79,94501600.0
2781,2009-01-23,15.87,84417000.0
2782,2009-01-26,15.48,75464000.0
2783,2009-01-27,16.19,77306500.0
2784,2009-01-28,21.19,203219500.0
2785,2009-01-29,18.78,127527600.0
2786,2009-01-30,18.9,97576800.0
2787,2009-02-02,19.23,81939400.0
2788,2009-02-03,18.53,95285100.0
2789,2009-02-04,17.45,89512300.0
2790,2009-02-05,16.27,206588100.0
2791,2009-02-06,19.14,118216200.0
2792,2009-02-09,19.06,74538100.0
2793,2009-02-10,16.35,136825300.0
2794,2009-02-11,17.5,74251900.0
2795,2009-02-12,16.8,144748600.0
2796,2009-02-13,15.76,88502000.0
2797,2009-02-17,13.69,122235400.0
2798,2009-02-18,13.05,190592400.0
2799,2009-02-19,12.01,129429500.0
2800,2009-02-20,10.91,372764600.0
2801,2009-02-23,11.03,225178200.0
2802,2009-02-24,13.05,187177900.0
2803,2009-02-25,13.44,209935600.0
2804,2009-02-26,14.4,170145000.0
2805,2009-02-27,12.1,186832300.0
2806,2009-03-02,10.84,162697700.0
2807,2009-03-03,10.67,156370200.0
2808,2009-03-04,9.66,237467700.0
2809,2009-03-05,8.12,274724600.0
2810,2009-03-06,8.61,256312500.0
2811,2009-03-09,9.97,209041300.0
2812,2009-03-10,11.81,233377400.0
2813,2009-03-11,11.88,190297200.0
2814,2009-03-12,13.95,194211600.0
2815,2009-03-13,13.94,197054500.0
2816,2009-03-16,13.7,183999100.0
2817,2009-03-17,14.66,144894400.0
2818,2009-03-18,17.22,232658000.0
2819,2009-03-19,15.42,175963000.0
2820,2009-03-20,13.99,167275700.0
2821,2009-03-23,17.33,186689100.0
2822,2009-03-24,15.55,167873500.0
2823,2009-03-25,16.42,217755200.0
2824,2009-03-26,15.95,163404200.0
2825,2009-03-27,15.59,129904000.0
2826,2009-03-30,13.37,148010900.0
2827,2009-03-31,14.24,145973500.0
2828,2009-04-01,14.48,156839200.0
2829,2009-04-02,15.33,206881200.0
2830,2009-04-03,16.34,130556900.0
2831,2009-04-06,15.25,119301700.0
2832,2009-04-07,14.85,117192300.0
2833,2009-04-08,14.89,91295200.0
2834,2009-04-09,19.61,376577100.0
2835,2009-04-13,19.67,173737800.0
2836,2009-04-14,18.27,154442900.0
2837,2009-04-15,19.55,119185500.0
2838,2009-04-16,19.45,129565500.0
2839,2009-04-17,20.26,166941600.0
2840,2009-04-20,17.0,162271800.0
2841,2009-04-21,18.81,185041900.0
2842,2009-04-22,18.18,248215300.0
2843,2009-04-23,20.09,206481900.0
2844,2009-04-24,21.4,222241900.0
2845,2009-04-27,20.3,134002500.0
2846,2009-04-28,19.48,107394300.0
2847,2009-04-29,19.97,142750100.0
2848,2009-04-30,20.01,115836200.0
2849,2009-05-01,19.61,96730100.0
2850,2009-05-04,24.25,294065000.0
2851,2009-05-05,23.27,175576000.0
2852,2009-05-06,26.84,256184300.0
2853,2009-05-07,24.76,236941900.0
2854,2009-05-08,28.18,478736600.0
2855,2009-05-11,26.53,188439600.0
2856,2009-05-12,25.7,189795100.0
2857,2009-05-13,24.2,135710100.0
2858,2009-05-14,25.69,122509300.0
2859,2009-05-15,24.87,94467400.0
2860,2009-05-18,26.93,107543400.0
2861,2009-05-19,25.4,96754700.0
2862,2009-05-20,24.46,122873300.0
2863,2009-05-21,25.04,98832400.0
2864,2009-05-22,24.31,59379300.0
2865,2009-05-26,25.65,92738800.0
2866,2009-05-27,24.08,110028600.0
2867,2009-05-28,24.77,128903700.0
2868,2009-05-29,25.5,121275800.0
2869,2009-06-01,25.43,122370300.0
2870,2009-06-02,24.39,102133000.0
2871,2009-06-03,24.13,82289300.0
2872,2009-06-04,25.1,75247800.0
2873,2009-06-05,24.72,79067200.0
2874,2009-06-08,25.39,65703100.0
2875,2009-06-09,25.66,70525600.0
2876,2009-06-10,24.91,88999800.0
2877,2009-06-11,25.02,63676900.0
2878,2009-06-12,25.48,49000500.0
2879,2009-06-15,24.71,59908800.0
2880,2009-06-16,24.4,62161500.0
2881,2009-06-17,23.09,100761400.0
2882,2009-06-18,23.7,73968300.0
2883,2009-06-19,24.19,101330400.0
2884,2009-06-22,22.51,82122000.0
2885,2009-06-23,22.91,83126100.0
2886,2009-06-24,23.17,69038200.0
2887,2009-06-25,23.8,64436000.0
2888,2009-06-26,23.87,62738900.0
2889,2009-06-29,24.53,60701400.0
2890,2009-06-30,24.26,75007300.0
2891,2009-07-01,24.14,57186500.0
2892,2009-07-02,23.18,52546200.0
2893,2009-07-06,23.1,77596200.0
2894,2009-07-07,23.33,64747000.0
2895,2009-07-08,22.91,93891900.0
2896,2009-07-09,23.28,53836900.0
2897,2009-07-10,22.87,53700500.0
2898,2009-07-13,24.8,86119200.0
2899,2009-07-14,24.4,67883400.0
2900,2009-07-15,25.3,90990200.0
2901,2009-07-16,25.05,61519900.0
2902,2009-07-17,25.0,54724600.0
2903,2009-07-20,25.52,64893800.0
2904,2009-07-21,25.35,64544500.0
2905,2009-07-22,24.45,150692300.0
2906,2009-07-23,24.26,99923300.0
2907,2009-07-24,23.47,93905100.0
2908,2009-07-27,24.22,62487900.0
2909,2009-07-28,24.52,62683700.0
2910,2009-07-29,24.38,48075900.0
2911,2009-07-30,24.87,54517400.0
2912,2009-07-31,24.46,54880800.0
2913,2009-08-03,25.8,66231200.0
2914,2009-08-04,26.5,82298700.0
2915,2009-08-05,28.02,87411700.0
2916,2009-08-06,27.97,85642200.0
2917,2009-08-07,28.76,71572200.0
2918,2009-08-10,28.64,43352200.0
2919,2009-08-11,26.89,72918200.0
2920,2009-08-12,27.17,53521000.0
2921,2009-08-13,27.88,49493800.0
2922,2009-08-14,27.73,45055900.0
2923,2009-08-17,26.3,51950300.0
2924,2009-08-18,26.34,36659900.0
2925,2009-08-19,26.61,46441900.0
2926,2009-08-20,27.48,48097300.0
2927,2009-08-21,27.94,51137800.0
2928,2009-08-24,27.32,51642300.0
2929,2009-08-25,27.33,42789000.0
2930,2009-08-26,27.62,43310800.0
2931,2009-08-27,27.74,35292800.0
2932,2009-08-28,27.3,35405800.0
2933,2009-08-31,27.52,35614100.0
2934,2009-09-01,26.21,87353300.0
2935,2009-09-02,26.09,53902400.0
2936,2009-09-03,26.91,39465400.0
2937,2009-09-04,26.91,31552900.0
2938,2009-09-08,26.98,31736000.0
2939,2009-09-09,27.68,47483700.0
2940,2009-09-10,27.86,40938900.0
2941,2009-09-11,27.43,33802300.0
2942,2009-09-14,27.92,32056200.0
2943,2009-09-15,28.58,50756800.0
2944,2009-09-16,29.41,49675000.0
2945,2009-09-17,28.78,36872000.0
2946,2009-09-18,28.49,42749200.0
2947,2009-09-21,28.29,34390700.0
2948,2009-09-22,29.39,45230300.0
2949,2009-09-23,28.76,38182200.0
2950,2009-09-24,28.45,46650900.0
2951,2009-09-25,28.19,34479100.0
2952,2009-09-28,28.9,31319700.0
2953,2009-09-29,28.35,29705900.0
2954,2009-09-30,28.18,39190600.0
2955,2009-10-01,26.6,56454900.0
2956,2009-10-02,26.28,52060900.0
2957,2009-10-05,28.09,56118100.0
2958,2009-10-06,28.66,59068600.0
2959,2009-10-07,29.26,41824100.0
2960,2009-10-08,29.05,45338900.0
2961,2009-10-09,29.21,29218700.0
2962,2009-10-12,30.28,52504500.0
2963,2009-10-13,30.06,38648600.0
2964,2009-10-14,31.34,62894600.0
2965,2009-10-15,31.38,39072700.0
2966,2009-10-16,30.02,57472400.0
2967,2009-10-19,30.07,32327500.0
